number,A1,A2,A3,A4,A5,A6,A7
97,Buy,ok,trip_2,trip_other,trip_other,trip_1,Cancel
98,Buy,ok,trip_2,trip_other,trip_other,trip_2,Cancel
99,Buy,ok,trip_2,trip_other,trip_other,trip_other,Cancel
100,Buy,ok,trip_other,Buy,ok,Buy,Cancel
101,Buy,ok,trip_other,Buy,ok,trip_1,Cancel
102,Buy,ok,trip_other,Buy,ok,trip_2,Cancel
103,Buy,ok,trip_other,Buy,ok,trip_other,Cancel
104,Buy,ok,trip_other,trip_1,Buy,ok,Cancel
105,Buy,ok,trip_other,trip_1,trip_1,Buy,Cancel
106,Buy,ok,trip_other,trip_1,trip_1,trip_1,Cancel
107,Buy,ok,trip_other,trip_1,trip_1,trip_2,Cancel
108,Buy,ok,trip_other,trip_1,trip_1,trip_other,Cancel
109,Buy,ok,trip_other,trip_1,trip_2,Buy,Cancel
110,Buy,ok,trip_other,trip_1,trip_2,trip_1,Cancel
111,Buy,ok,trip_other,trip_1,trip_2,trip_2,Cancel
112,Buy,ok,trip_other,trip_1,trip_2,trip_other,Cancel
113,Buy,ok,trip_other,trip_1,trip_other,Buy,Cancel
114,Buy,ok,trip_other,trip_1,trip_other,trip_1,Cancel
115,Buy,ok,trip_other,trip_1,trip_other,trip_2,Cancel
116,Buy,ok,trip_other,trip_1,trip_other,trip_other,Cancel
117,Buy,ok,trip_other,trip_2,Buy,ok,Cancel
118,Buy,ok,trip_other,trip_2,trip_1,Buy,Cancel
119,Buy,ok,trip_other,trip_2,trip_1,trip_1,Cancel
120,Buy,ok,trip_other,trip_2,trip_1,trip_2,Cancel
121,Buy,ok,trip_other,trip_2,trip_1,trip_other,Cancel
122,Buy,ok,trip_other,trip_2,trip_2,Buy,Cancel
123,Buy,ok,trip_other,trip_2,trip_2,trip_1,Cancel
124,Buy,ok,trip_other,trip_2,trip_2,trip_2,Cancel
125,Buy,ok,trip_other,trip_2,trip_2,trip_other,Cancel
126,Buy,ok,trip_other,trip_2,trip_other,Buy,Cancel
127,Buy,ok,trip_other,trip_2,trip_other,trip_1,Cancel
128,Buy,ok,trip_other,trip_2,trip_other,trip_2,Cancel
129,Buy,ok,trip_other,trip_2,trip_other,trip_other,Cancel
130,Buy,ok,trip_other,trip_other,Buy,ok,Cancel
131,Buy,ok,trip_other,trip_other,trip_1,Buy,Cancel
132,Buy,ok,trip_other,trip_other,trip_1,trip_1,Cancel
133,Buy,ok,trip_other,trip_other,trip_1,trip_2,Cancel
134,Buy,ok,trip_other,trip_other,trip_1,trip_other,Cancel
135,Buy,ok,trip_other,trip_other,trip_2,Buy,Cancel
136,Buy,ok,trip_other,trip_other,trip_2,trip_1,Cancel
137,Buy,ok,trip_other,trip_other,trip_2,trip_2,Cancel
138,Buy,ok,trip_other,trip_other,trip_2,trip_other,Cancel
139,Buy,ok,trip_other,trip_other,trip_other,Buy,Cancel
140,Buy,ok,trip_other,trip_other,trip_other,trip_1,Cancel
141,Buy,ok,trip_other,trip_other,trip_other,trip_2,Cancel
142,Buy,ok,trip_other,trip_other,trip_other,trip_other,Cancel
143,city_subway,concession,daily,Buy,ok,Buy,Cancel
144,city_subway,concession,daily,Buy,ok,trip_1,Cancel
145,city_subway,concession,daily,Buy,ok,trip_2,Cancel
146,city_subway,concession,daily,Buy,ok,trip_other,Cancel
147,city_subway,concession,individual,Buy,ok,Buy,Cancel
148,city_subway,concession,individual,Buy,ok,trip_1,Cancel
149,city_subway,concession,individual,Buy,ok,trip_2,Cancel
150,city_subway,concession,individual,Buy,ok,trip_other,Cancel
151,city_subway,concession,individual,trip_1,Buy,ok,Cancel
152,city_subway,concession,individual,trip_1,trip_1,Buy,Cancel
153,city_subway,concession,individual,trip_1,trip_1,trip_1,Cancel
