number,A1,A2,A3,A4,A5,A6,A7
2055,trip_1,trip_other,trip_1,trip_other,trip_2,trip_2,Cancel
2056,trip_1,trip_other,trip_1,trip_other,trip_2,trip_other,Cancel
2057,trip_1,trip_other,trip_1,trip_other,trip_other,Buy,Cancel
2058,trip_1,trip_other,trip_1,trip_other,trip_other,trip_1,Cancel
2059,trip_1,trip_other,trip_1,trip_other,trip_other,trip_2,Cancel
2060,trip_1,trip_other,trip_1,trip_other,trip_other,trip_other,Cancel
2061,trip_1,trip_other,trip_2,Buy,ok,Buy,Cancel
2062,trip_1,trip_other,trip_2,Buy,ok,trip_1,Cancel
2063,trip_1,trip_other,trip_2,Buy,ok,trip_2,Cancel
2064,trip_1,trip_other,trip_2,Buy,ok,trip_other,Cancel
2065,trip_1,trip_other,trip_2,trip_1,Buy,ok,Cancel
2066,trip_1,trip_other,trip_2,trip_1,trip_1,Buy,Cancel
2067,trip_1,trip_other,trip_2,trip_1,trip_1,trip_1,Cancel
2068,trip_1,trip_other,trip_2,trip_1,trip_1,trip_2,Cancel
2069,trip_1,trip_other,trip_2,trip_1,trip_1,trip_other,Cancel
2070,trip_1,trip_other,trip_2,trip_1,trip_2,Buy,Cancel
2071,trip_1,trip_other,trip_2,trip_1,trip_2,trip_1,Cancel
2072,trip_1,trip_other,trip_2,trip_1,trip_2,trip_2,Cancel
2073,trip_1,trip_other,trip_2,trip_1,trip_2,trip_other,Cancel
2074,trip_1,trip_other,trip_2,trip_1,trip_other,Buy,Cancel
2075,trip_1,trip_other,trip_2,trip_1,trip_other,trip_1,Cancel
2076,trip_1,trip_other,trip_2,trip_1,trip_other,trip_2,Cancel
2077,trip_1,trip_other,trip_2,trip_1,trip_other,trip_other,Cancel
2078,trip_1,trip_other,trip_2,trip_2,Buy,ok,Cancel
2079,trip_1,trip_other,trip_2,trip_2,trip_1,Buy,Cancel
2080,trip_1,trip_other,trip_2,trip_2,trip_1,trip_1,Cancel
2081,trip_1,trip_other,trip_2,trip_2,trip_1,trip_2,Cancel
2082,trip_1,trip_other,trip_2,trip_2,trip_1,trip_other,Cancel
2083,trip_1,trip_other,trip_2,trip_2,trip_2,Buy,Cancel
2084,trip_1,trip_other,trip_2,trip_2,trip_2,trip_1,Cancel
2085,trip_1,trip_other,trip_2,trip_2,trip_2,trip_2,Cancel
2086,trip_1,trip_other,trip_2,trip_2,trip_2,trip_other,Cancel
2087,trip_1,trip_other,trip_2,trip_2,trip_other,Buy,Cancel
2088,trip_1,trip_other,trip_2,trip_2,trip_other,trip_1,Cancel
2089,trip_1,trip_other,trip_2,trip_2,trip_other,trip_2,Cancel
2090,trip_1,trip_other,trip_2,trip_2,trip_other,trip_other,Cancel
2091,trip_1,trip_other,trip_2,trip_other,Buy,ok,Cancel
2092,trip_1,trip_other,trip_2,trip_other,trip_1,Buy,Cancel
2093,trip_1,trip_other,trip_2,trip_other,trip_1,trip_1,Cancel
2094,trip_1,trip_other,trip_2,trip_other,trip_1,trip_2,Cancel
2095,trip_1,trip_other,trip_2,trip_other,trip_1,trip_other,Cancel
2096,trip_1,trip_other,trip_2,trip_other,trip_2,Buy,Cancel
2097,trip_1,trip_other,trip_2,trip_other,trip_2,trip_1,Cancel
2098,trip_1,trip_other,trip_2,trip_other,trip_2,trip_2,Cancel
2099,trip_1,trip_other,trip_2,trip_other,trip_2,trip_other,Cancel
2100,trip_1,trip_other,trip_2,trip_other,trip_other,Buy,Cancel
2101,trip_1,trip_other,trip_2,trip_other,trip_other,trip_1,Cancel
2102,trip_1,trip_other,trip_2,trip_other,trip_other,trip_2,Cancel
2103,trip_1,trip_other,trip_2,trip_other,trip_other,trip_other,Cancel
2104,trip_1,trip_other,trip_other,Buy,ok,Buy,Cancel
2105,trip_1,trip_other,trip_other,Buy,ok,trip_1,Cancel
2106,trip_1,trip_other,trip_other,Buy,ok,trip_2,Cancel
2107,trip_1,trip_other,trip_other,Buy,ok,trip_other,Cancel
2108,trip_1,trip_other,trip_other,trip_1,Buy,ok,Cancel
2109,trip_1,trip_other,trip_other,trip_1,trip_1,Buy,Cancel
2110,trip_1,trip_other,trip_other,trip_1,trip_1,trip_1,Cancel
2111,trip_1,trip_other,trip_other,trip_1,trip_1,trip_2,Cancel
2112,trip_1,trip_other,trip_other,trip_1,trip_1,trip_other,Cancel
2113,trip_1,trip_other,trip_other,trip_1,trip_2,Buy,Cancel
2114,trip_1,trip_other,trip_other,trip_1,trip_2,trip_1,Cancel
2115,trip_1,trip_other,trip_other,trip_1,trip_2,trip_2,Cancel
2116,trip_1,trip_other,trip_other,trip_1,trip_2,trip_other,Cancel
2117,trip_1,trip_other,trip_other,trip_1,trip_other,Buy,Cancel
2118,trip_1,trip_other,trip_other,trip_1,trip_other,trip_1,Cancel
2119,trip_1,trip_other,trip_other,trip_1,trip_other,trip_2,Cancel
2120,trip_1,trip_other,trip_other,trip_1,trip_other,trip_other,Cancel
2121,trip_1,trip_other,trip_other,trip_2,Buy,ok,Cancel
2122,trip_1,trip_other,trip_other,trip_2,trip_1,Buy,Cancel
2123,trip_1,trip_other,trip_other,trip_2,trip_1,trip_1,Cancel
2124,trip_1,trip_other,trip_other,trip_2,trip_1,trip_2,Cancel
2125,trip_1,trip_other,trip_other,trip_2,trip_1,trip_other,Cancel
2126,trip_1,trip_other,trip_other,trip_2,trip_2,Buy,Cancel
2127,trip_1,trip_other,trip_other,trip_2,trip_2,trip_1,Cancel
2128,trip_1,trip_other,trip_other,trip_2,trip_2,trip_2,Cancel
2129,trip_1,trip_other,trip_other,trip_2,trip_2,trip_other,Cancel
2130,trip_1,trip_other,trip_other,trip_2,trip_other,Buy,Cancel
2131,trip_1,trip_other,trip_other,trip_2,trip_other,trip_1,Cancel
2132,trip_1,trip_other,trip_other,trip_2,trip_other,trip_2,Cancel
2133,trip_1,trip_other,trip_other,trip_2,trip_other,trip_other,Cancel
2134,trip_1,trip_other,trip_other,trip_other,Buy,ok,Cancel
2135,trip_1,trip_other,trip_other,trip_other,trip_1,Buy,Cancel
2136,trip_1,trip_other,trip_other,trip_other,trip_1,trip_1,Cancel
2137,trip_1,trip_other,trip_other,trip_other,trip_1,trip_2,Cancel
2138,trip_1,trip_other,trip_other,trip_other,trip_1,trip_other,Cancel
2139,trip_1,trip_other,trip_other,trip_other,trip_2,Buy,Cancel
2140,trip_1,trip_other,trip_other,trip_other,trip_2,trip_1,Cancel
2141,trip_1,trip_other,trip_other,trip_other,trip_2,trip_2,Cancel
2142,trip_1,trip_other,trip_other,trip_other,trip_2,trip_other,Cancel
2143,trip_1,trip_other,trip_other,trip_other,trip_other,Buy,Cancel
2144,trip_1,trip_other,trip_other,trip_other,trip_other,trip_1,Cancel
2145,trip_1,trip_other,trip_other,trip_other,trip_other,trip_2,Cancel
2146,trip_1,trip_other,trip_other,trip_other,trip_other,trip_other,Cancel
2147,trip_2,Buy,ok,Buy,ok,Buy,Cancel
2148,trip_2,Buy,ok,Buy,ok,trip_1,Cancel
2149,trip_2,Buy,ok,Buy,ok,trip_2,Cancel
2150,trip_2,Buy,ok,Buy,ok,trip_other,Cancel
2151,trip_2,Buy,ok,trip_1,Buy,ok,Cancel
2152,trip_2,Buy,ok,trip_1,trip_1,Buy,Cancel
2153,trip_2,Buy,ok,trip_1,trip_1,trip_1,Cancel
2154,trip_2,Buy,ok,trip_1,trip_1,trip_2,Cancel
2155,trip_2,Buy,ok,trip_1,trip_1,trip_other,Cancel
2156,trip_2,Buy,ok,trip_1,trip_2,Buy,Cancel
2157,trip_2,Buy,ok,trip_1,trip_2,trip_1,Cancel
2158,trip_2,Buy,ok,trip_1,trip_2,trip_2,Cancel
2159,trip_2,Buy,ok,trip_1,trip_2,trip_other,Cancel
2160,trip_2,Buy,ok,trip_1,trip_other,Buy,Cancel
2161,trip_2,Buy,ok,trip_1,trip_other,trip_1,Cancel
2162,trip_2,Buy,ok,trip_1,trip_other,trip_2,Cancel
2163,trip_2,Buy,ok,trip_1,trip_other,trip_other,Cancel
2164,trip_2,Buy,ok,trip_2,Buy,ok,Cancel
2165,trip_2,Buy,ok,trip_2,trip_1,Buy,Cancel
2166,trip_2,Buy,ok,trip_2,trip_1,trip_1,Cancel
2167,trip_2,Buy,ok,trip_2,trip_1,trip_2,Cancel
2168,trip_2,Buy,ok,trip_2,trip_1,trip_other,Cancel
2169,trip_2,Buy,ok,trip_2,trip_2,Buy,Cancel
2170,trip_2,Buy,ok,trip_2,trip_2,trip_1,Cancel
2171,trip_2,Buy,ok,trip_2,trip_2,trip_2,Cancel
2172,trip_2,Buy,ok,trip_2,trip_2,trip_other,Cancel
2173,trip_2,Buy,ok,trip_2,trip_other,Buy,Cancel
2174,trip_2,Buy,ok,trip_2,trip_other,trip_1,Cancel
2175,trip_2,Buy,ok,trip_2,trip_other,trip_2,Cancel
2176,trip_2,Buy,ok,trip_2,trip_other,trip_other,Cancel
2177,trip_2,Buy,ok,trip_other,Buy,ok,Cancel
2178,trip_2,Buy,ok,trip_other,trip_1,Buy,Cancel
2179,trip_2,Buy,ok,trip_other,trip_1,trip_1,Cancel
2180,trip_2,Buy,ok,trip_other,trip_1,trip_2,Cancel
2181,trip_2,Buy,ok,trip_other,trip_1,trip_other,Cancel
2182,trip_2,Buy,ok,trip_other,trip_2,Buy,Cancel
2183,trip_2,Buy,ok,trip_other,trip_2,trip_1,Cancel
2184,trip_2,Buy,ok,trip_other,trip_2,trip_2,Cancel
2185,trip_2,Buy,ok,trip_other,trip_2,trip_other,Cancel
2186,trip_2,Buy,ok,trip_other,trip_other,Buy,Cancel
2187,trip_2,Buy,ok,trip_other,trip_other,trip_1,Cancel
2188,trip_2,Buy,ok,trip_other,trip_other,trip_2,Cancel
2189,trip_2,Buy,ok,trip_other,trip_other,trip_other,Cancel
2190,trip_2,trip_1,Buy,ok,Buy,ok,Cancel
2191,trip_2,trip_1,Buy,ok,trip_1,Buy,Cancel
2192,trip_2,trip_1,Buy,ok,trip_1,trip_1,Cancel
2193,trip_2,trip_1,Buy,ok,trip_1,trip_2,Cancel
2194,trip_2,trip_1,Buy,ok,trip_1,trip_other,Cancel
2195,trip_2,trip_1,Buy,ok,trip_2,Buy,Cancel
2196,trip_2,trip_1,Buy,ok,trip_2,trip_1,Cancel
2197,trip_2,trip_1,Buy,ok,trip_2,trip_2,Cancel
2198,trip_2,trip_1,Buy,ok,trip_2,trip_other,Cancel
2199,trip_2,trip_1,Buy,ok,trip_other,Buy,Cancel
2200,trip_2,trip_1,Buy,ok,trip_other,trip_1,Cancel
2201,trip_2,trip_1,Buy,ok,trip_other,trip_2,Cancel
2202,trip_2,trip_1,Buy,ok,trip_other,trip_other,Cancel
2203,trip_2,trip_1,trip_1,Buy,ok,Buy,Cancel
2204,trip_2,trip_1,trip_1,Buy,ok,trip_1,Cancel
2205,trip_2,trip_1,trip_1,Buy,ok,trip_2,Cancel
2206,trip_2,trip_1,trip_1,Buy,ok,trip_other,Cancel
2207,trip_2,trip_1,trip_1,trip_1,Buy,ok,Cancel
2208,trip_2,trip_1,trip_1,trip_1,trip_1,Buy,Cancel
2209,trip_2,trip_1,trip_1,trip_1,trip_1,trip_1,Cancel
2210,trip_2,trip_1,trip_1,trip_1,trip_1,trip_2,Cancel
2211,trip_2,trip_1,trip_1,trip_1,trip_1,trip_other,Cancel
2212,trip_2,trip_1,trip_1,trip_1,trip_2,Buy,Cancel
2213,trip_2,trip_1,trip_1,trip_1,trip_2,trip_1,Cancel
2214,trip_2,trip_1,trip_1,trip_1,trip_2,trip_2,Cancel
2215,trip_2,trip_1,trip_1,trip_1,trip_2,trip_other,Cancel
2216,trip_2,trip_1,trip_1,trip_1,trip_other,Buy,Cancel
2217,trip_2,trip_1,trip_1,trip_1,trip_other,trip_1,Cancel
2218,trip_2,trip_1,trip_1,trip_1,trip_other,trip_2,Cancel
2219,trip_2,trip_1,trip_1,trip_1,trip_other,trip_other,Cancel
2220,trip_2,trip_1,trip_1,trip_2,Buy,ok,Cancel
2221,trip_2,trip_1,trip_1,trip_2,trip_1,Buy,Cancel
2222,trip_2,trip_1,trip_1,trip_2,trip_1,trip_1,Cancel
2223,trip_2,trip_1,trip_1,trip_2,trip_1,trip_2,Cancel
2224,trip_2,trip_1,trip_1,trip_2,trip_1,trip_other,Cancel
2225,trip_2,trip_1,trip_1,trip_2,trip_2,Buy,Cancel
2226,trip_2,trip_1,trip_1,trip_2,trip_2,trip_1,Cancel
2227,trip_2,trip_1,trip_1,trip_2,trip_2,trip_2,Cancel
2228,trip_2,trip_1,trip_1,trip_2,trip_2,trip_other,Cancel
2229,trip_2,trip_1,trip_1,trip_2,trip_other,Buy,Cancel
2230,trip_2,trip_1,trip_1,trip_2,trip_other,trip_1,Cancel
2231,trip_2,trip_1,trip_1,trip_2,trip_other,trip_2,Cancel
2232,trip_2,trip_1,trip_1,trip_2,trip_other,trip_other,Cancel
2233,trip_2,trip_1,trip_1,trip_other,Buy,ok,Cancel
2234,trip_2,trip_1,trip_1,trip_other,trip_1,Buy,Cancel
2235,trip_2,trip_1,trip_1,trip_other,trip_1,trip_1,Cancel
2236,trip_2,trip_1,trip_1,trip_other,trip_1,trip_2,Cancel
2237,trip_2,trip_1,trip_1,trip_other,trip_1,trip_other,Cancel
2238,trip_2,trip_1,trip_1,trip_other,trip_2,Buy,Cancel
2239,trip_2,trip_1,trip_1,trip_other,trip_2,trip_1,Cancel
2240,trip_2,trip_1,trip_1,trip_other,trip_2,trip_2,Cancel
2241,trip_2,trip_1,trip_1,trip_other,trip_2,trip_other,Cancel
2242,trip_2,trip_1,trip_1,trip_other,trip_other,Buy,Cancel
2243,trip_2,trip_1,trip_1,trip_other,trip_other,trip_1,Cancel
2244,trip_2,trip_1,trip_1,trip_other,trip_other,trip_2,Cancel
2245,trip_2,trip_1,trip_1,trip_other,trip_other,trip_other,Cancel
2246,trip_2,trip_1,trip_2,Buy,ok,Buy,Cancel
2247,trip_2,trip_1,trip_2,Buy,ok,trip_1,Cancel
2248,trip_2,trip_1,trip_2,Buy,ok,trip_2,Cancel
2249,trip_2,trip_1,trip_2,Buy,ok,trip_other,Cancel
2250,trip_2,trip_1,trip_2,trip_1,Buy,ok,Cancel
2251,trip_2,trip_1,trip_2,trip_1,trip_1,Buy,Cancel
2252,trip_2,trip_1,trip_2,trip_1,trip_1,trip_1,Cancel
2253,trip_2,trip_1,trip_2,trip_1,trip_1,trip_2,Cancel
2254,trip_2,trip_1,trip_2,trip_1,trip_1,trip_other,Cancel
2255,trip_2,trip_1,trip_2,trip_1,trip_2,Buy,Cancel
2256,trip_2,trip_1,trip_2,trip_1,trip_2,trip_1,Cancel
2257,trip_2,trip_1,trip_2,trip_1,trip_2,trip_2,Cancel
2258,trip_2,trip_1,trip_2,trip_1,trip_2,trip_other,Cancel
2259,trip_2,trip_1,trip_2,trip_1,trip_other,Buy,Cancel
2260,trip_2,trip_1,trip_2,trip_1,trip_other,trip_1,Cancel
2261,trip_2,trip_1,trip_2,trip_1,trip_other,trip_2,Cancel
2262,trip_2,trip_1,trip_2,trip_1,trip_other,trip_other,Cancel
2263,trip_2,trip_1,trip_2,trip_2,Buy,ok,Cancel
2264,trip_2,trip_1,trip_2,trip_2,trip_1,Buy,Cancel
2265,trip_2,trip_1,trip_2,trip_2,trip_1,trip_1,Cancel
2266,trip_2,trip_1,trip_2,trip_2,trip_1,trip_2,Cancel
2267,trip_2,trip_1,trip_2,trip_2,trip_1,trip_other,Cancel
2268,trip_2,trip_1,trip_2,trip_2,trip_2,Buy,Cancel
2269,trip_2,trip_1,trip_2,trip_2,trip_2,trip_1,Cancel
2270,trip_2,trip_1,trip_2,trip_2,trip_2,trip_2,Cancel
2271,trip_2,trip_1,trip_2,trip_2,trip_2,trip_other,Cancel
2272,trip_2,trip_1,trip_2,trip_2,trip_other,Buy,Cancel
2273,trip_2,trip_1,trip_2,trip_2,trip_other,trip_1,Cancel
2274,trip_2,trip_1,trip_2,trip_2,trip_other,trip_2,Cancel
2275,trip_2,trip_1,trip_2,trip_2,trip_other,trip_other,Cancel
2276,trip_2,trip_1,trip_2,trip_other,Buy,ok,Cancel
2277,trip_2,trip_1,trip_2,trip_other,trip_1,Buy,Cancel
2278,trip_2,trip_1,trip_2,trip_other,trip_1,trip_1,Cancel
2279,trip_2,trip_1,trip_2,trip_other,trip_1,trip_2,Cancel
2280,trip_2,trip_1,trip_2,trip_other,trip_1,trip_other,Cancel
2281,trip_2,trip_1,trip_2,trip_other,trip_2,Buy,Cancel
2282,trip_2,trip_1,trip_2,trip_other,trip_2,trip_1,Cancel
2283,trip_2,trip_1,trip_2,trip_other,trip_2,trip_2,Cancel
2284,trip_2,trip_1,trip_2,trip_other,trip_2,trip_other,Cancel
2285,trip_2,trip_1,trip_2,trip_other,trip_other,Buy,Cancel
2286,trip_2,trip_1,trip_2,trip_other,trip_other,trip_1,Cancel
2287,trip_2,trip_1,trip_2,trip_other,trip_other,trip_2,Cancel
2288,trip_2,trip_1,trip_2,trip_other,trip_other,trip_other,Cancel
2289,trip_2,trip_1,trip_other,Buy,ok,Buy,Cancel
2290,trip_2,trip_1,trip_other,Buy,ok,trip_1,Cancel
2291,trip_2,trip_1,trip_other,Buy,ok,trip_2,Cancel
2292,trip_2,trip_1,trip_other,Buy,ok,trip_other,Cancel
2293,trip_2,trip_1,trip_other,trip_1,Buy,ok,Cancel
2294,trip_2,trip_1,trip_other,trip_1,trip_1,Buy,Cancel
2295,trip_2,trip_1,trip_other,trip_1,trip_1,trip_1,Cancel
2296,trip_2,trip_1,trip_other,trip_1,trip_1,trip_2,Cancel
2297,trip_2,trip_1,trip_other,trip_1,trip_1,trip_other,Cancel
2298,trip_2,trip_1,trip_other,trip_1,trip_2,Buy,Cancel
2299,trip_2,trip_1,trip_other,trip_1,trip_2,trip_1,Cancel
2300,trip_2,trip_1,trip_other,trip_1,trip_2,trip_2,Cancel
2301,trip_2,trip_1,trip_other,trip_1,trip_2,trip_other,Cancel
2302,trip_2,trip_1,trip_other,trip_1,trip_other,Buy,Cancel
2303,trip_2,trip_1,trip_other,trip_1,trip_other,trip_1,Cancel
2304,trip_2,trip_1,trip_other,trip_1,trip_other,trip_2,Cancel
2305,trip_2,trip_1,trip_other,trip_1,trip_other,trip_other,Cancel
2306,trip_2,trip_1,trip_other,trip_2,Buy,ok,Cancel
2307,trip_2,trip_1,trip_other,trip_2,trip_1,Buy,Cancel
2308,trip_2,trip_1,trip_other,trip_2,trip_1,trip_1,Cancel
2309,trip_2,trip_1,trip_other,trip_2,trip_1,trip_2,Cancel
2310,trip_2,trip_1,trip_other,trip_2,trip_1,trip_other,Cancel
2311,trip_2,trip_1,trip_other,trip_2,trip_2,Buy,Cancel
2312,trip_2,trip_1,trip_other,trip_2,trip_2,trip_1,Cancel
2313,trip_2,trip_1,trip_other,trip_2,trip_2,trip_2,Cancel
2314,trip_2,trip_1,trip_other,trip_2,trip_2,trip_other,Cancel
2315,trip_2,trip_1,trip_other,trip_2,trip_other,Buy,Cancel
2316,trip_2,trip_1,trip_other,trip_2,trip_other,trip_1,Cancel
2317,trip_2,trip_1,trip_other,trip_2,trip_other,trip_2,Cancel
2318,trip_2,trip_1,trip_other,trip_2,trip_other,trip_other,Cancel
2319,trip_2,trip_1,trip_other,trip_other,Buy,ok,Cancel
2320,trip_2,trip_1,trip_other,trip_other,trip_1,Buy,Cancel
2321,trip_2,trip_1,trip_other,trip_other,trip_1,trip_1,Cancel
2322,trip_2,trip_1,trip_other,trip_other,trip_1,trip_2,Cancel
2323,trip_2,trip_1,trip_other,trip_other,trip_1,trip_other,Cancel
2324,trip_2,trip_1,trip_other,trip_other,trip_2,Buy,Cancel
2325,trip_2,trip_1,trip_other,trip_other,trip_2,trip_1,Cancel
2326,trip_2,trip_1,trip_other,trip_other,trip_2,trip_2,Cancel
2327,trip_2,trip_1,trip_other,trip_other,trip_2,trip_other,Cancel
2328,trip_2,trip_1,trip_other,trip_other,trip_other,Buy,Cancel
2329,trip_2,trip_1,trip_other,trip_other,trip_other,trip_1,Cancel
2330,trip_2,trip_1,trip_other,trip_other,trip_other,trip_2,Cancel
2331,trip_2,trip_1,trip_other,trip_other,trip_other,trip_other,Cancel
2332,trip_2,trip_2,Buy,ok,Buy,ok,Cancel
2333,trip_2,trip_2,Buy,ok,trip_1,Buy,Cancel
2334,trip_2,trip_2,Buy,ok,trip_1,trip_1,Cancel
2335,trip_2,trip_2,Buy,ok,trip_1,trip_2,Cancel
2336,trip_2,trip_2,Buy,ok,trip_1,trip_other,Cancel
2337,trip_2,trip_2,Buy,ok,trip_2,Buy,Cancel
2338,trip_2,trip_2,Buy,ok,trip_2,trip_1,Cancel
2339,trip_2,trip_2,Buy,ok,trip_2,trip_2,Cancel
2340,trip_2,trip_2,Buy,ok,trip_2,trip_other,Cancel
2341,trip_2,trip_2,Buy,ok,trip_other,Buy,Cancel
2342,trip_2,trip_2,Buy,ok,trip_other,trip_1,Cancel
2343,trip_2,trip_2,Buy,ok,trip_other,trip_2,Cancel
2344,trip_2,trip_2,Buy,ok,trip_other,trip_other,Cancel
2345,trip_2,trip_2,trip_1,Buy,ok,Buy,Cancel
2346,trip_2,trip_2,trip_1,Buy,ok,trip_1,Cancel
2347,trip_2,trip_2,trip_1,Buy,ok,trip_2,Cancel
2348,trip_2,trip_2,trip_1,Buy,ok,trip_other,Cancel
2349,trip_2,trip_2,trip_1,trip_1,Buy,ok,Cancel
2350,trip_2,trip_2,trip_1,trip_1,trip_1,Buy,Cancel
2351,trip_2,trip_2,trip_1,trip_1,trip_1,trip_1,Cancel
2352,trip_2,trip_2,trip_1,trip_1,trip_1,trip_2,Cancel
2353,trip_2,trip_2,trip_1,trip_1,trip_1,trip_other,Cancel
2354,trip_2,trip_2,trip_1,trip_1,trip_2,Buy,Cancel
2355,trip_2,trip_2,trip_1,trip_1,trip_2,trip_1,Cancel
2356,trip_2,trip_2,trip_1,trip_1,trip_2,trip_2,Cancel
2357,trip_2,trip_2,trip_1,trip_1,trip_2,trip_other,Cancel
2358,trip_2,trip_2,trip_1,trip_1,trip_other,Buy,Cancel
2359,trip_2,trip_2,trip_1,trip_1,trip_other,trip_1,Cancel
2360,trip_2,trip_2,trip_1,trip_1,trip_other,trip_2,Cancel
2361,trip_2,trip_2,trip_1,trip_1,trip_other,trip_other,Cancel
2362,trip_2,trip_2,trip_1,trip_2,Buy,ok,Cancel
2363,trip_2,trip_2,trip_1,trip_2,trip_1,Buy,Cancel
2364,trip_2,trip_2,trip_1,trip_2,trip_1,trip_1,Cancel
2365,trip_2,trip_2,trip_1,trip_2,trip_1,trip_2,Cancel
2366,trip_2,trip_2,trip_1,trip_2,trip_1,trip_other,Cancel
2367,trip_2,trip_2,trip_1,trip_2,trip_2,Buy,Cancel
2368,trip_2,trip_2,trip_1,trip_2,trip_2,trip_1,Cancel
2369,trip_2,trip_2,trip_1,trip_2,trip_2,trip_2,Cancel
2370,trip_2,trip_2,trip_1,trip_2,trip_2,trip_other,Cancel
2371,trip_2,trip_2,trip_1,trip_2,trip_other,Buy,Cancel
2372,trip_2,trip_2,trip_1,trip_2,trip_other,trip_1,Cancel
2373,trip_2,trip_2,trip_1,trip_2,trip_other,trip_2,Cancel
2374,trip_2,trip_2,trip_1,trip_2,trip_other,trip_other,Cancel
2375,trip_2,trip_2,trip_1,trip_other,Buy,ok,Cancel
2376,trip_2,trip_2,trip_1,trip_other,trip_1,Buy,Cancel
2377,trip_2,trip_2,trip_1,trip_other,trip_1,trip_1,Cancel
2378,trip_2,trip_2,trip_1,trip_other,trip_1,trip_2,Cancel
2379,trip_2,trip_2,trip_1,trip_other,trip_1,trip_other,Cancel
2380,trip_2,trip_2,trip_1,trip_other,trip_2,Buy,Cancel
2381,trip_2,trip_2,trip_1,trip_other,trip_2,trip_1,Cancel
2382,trip_2,trip_2,trip_1,trip_other,trip_2,trip_2,Cancel
2383,trip_2,trip_2,trip_1,trip_other,trip_2,trip_other,Cancel
2384,trip_2,trip_2,trip_1,trip_other,trip_other,Buy,Cancel
2385,trip_2,trip_2,trip_1,trip_other,trip_other,trip_1,Cancel
2386,trip_2,trip_2,trip_1,trip_other,trip_other,trip_2,Cancel
2387,trip_2,trip_2,trip_1,trip_other,trip_other,trip_other,Cancel
2388,trip_2,trip_2,trip_2,Buy,ok,Buy,Cancel
2389,trip_2,trip_2,trip_2,Buy,ok,trip_1,Cancel
2390,trip_2,trip_2,trip_2,Buy,ok,trip_2,Cancel
2391,trip_2,trip_2,trip_2,Buy,ok,trip_other,Cancel
2392,trip_2,trip_2,trip_2,trip_1,Buy,ok,Cancel
2393,trip_2,trip_2,trip_2,trip_1,trip_1,Buy,Cancel
2394,trip_2,trip_2,trip_2,trip_1,trip_1,trip_1,Cancel
2395,trip_2,trip_2,trip_2,trip_1,trip_1,trip_2,Cancel
2396,trip_2,trip_2,trip_2,trip_1,trip_1,trip_other,Cancel
2397,trip_2,trip_2,trip_2,trip_1,trip_2,Buy,Cancel
2398,trip_2,trip_2,trip_2,trip_1,trip_2,trip_1,Cancel
2399,trip_2,trip_2,trip_2,trip_1,trip_2,trip_2,Cancel
2400,trip_2,trip_2,trip_2,trip_1,trip_2,trip_other,Cancel
2401,trip_2,trip_2,trip_2,trip_1,trip_other,Buy,Cancel
2402,trip_2,trip_2,trip_2,trip_1,trip_other,trip_1,Cancel
2403,trip_2,trip_2,trip_2,trip_1,trip_other,trip_2,Cancel
2404,trip_2,trip_2,trip_2,trip_1,trip_other,trip_other,Cancel
2405,trip_2,trip_2,trip_2,trip_2,Buy,ok,Cancel
2406,trip_2,trip_2,trip_2,trip_2,trip_1,Buy,Cancel
2407,trip_2,trip_2,trip_2,trip_2,trip_1,trip_1,Cancel
2408,trip_2,trip_2,trip_2,trip_2,trip_1,trip_2,Cancel
2409,trip_2,trip_2,trip_2,trip_2,trip_1,trip_other,Cancel
2410,trip_2,trip_2,trip_2,trip_2,trip_2,Buy,Cancel
2411,trip_2,trip_2,trip_2,trip_2,trip_2,trip_1,Cancel
2412,trip_2,trip_2,trip_2,trip_2,trip_2,trip_2,Cancel
2413,trip_2,trip_2,trip_2,trip_2,trip_2,trip_other,Cancel
2414,trip_2,trip_2,trip_2,trip_2,trip_other,Buy,Cancel
2415,trip_2,trip_2,trip_2,trip_2,trip_other,trip_1,Cancel
2416,trip_2,trip_2,trip_2,trip_2,trip_other,trip_2,Cancel
2417,trip_2,trip_2,trip_2,trip_2,trip_other,trip_other,Cancel
2418,trip_2,trip_2,trip_2,trip_other,Buy,ok,Cancel
2419,trip_2,trip_2,trip_2,trip_other,trip_1,Buy,Cancel
2420,trip_2,trip_2,trip_2,trip_other,trip_1,trip_1,Cancel
2421,trip_2,trip_2,trip_2,trip_other,trip_1,trip_2,Cancel
2422,trip_2,trip_2,trip_2,trip_other,trip_1,trip_other,Cancel
2423,trip_2,trip_2,trip_2,trip_other,trip_2,Buy,Cancel
2424,trip_2,trip_2,trip_2,trip_other,trip_2,trip_1,Cancel
2425,trip_2,trip_2,trip_2,trip_other,trip_2,trip_2,Cancel
2426,trip_2,trip_2,trip_2,trip_other,trip_2,trip_other,Cancel
2427,trip_2,trip_2,trip_2,trip_other,trip_other,Buy,Cancel
2428,trip_2,trip_2,trip_2,trip_other,trip_other,trip_1,Cancel
2429,trip_2,trip_2,trip_2,trip_other,trip_other,trip_2,Cancel
2430,trip_2,trip_2,trip_2,trip_other,trip_other,trip_other,Cancel
2431,trip_2,trip_2,trip_other,Buy,ok,Buy,Cancel
2432,trip_2,trip_2,trip_other,Buy,ok,trip_1,Cancel
2433,trip_2,trip_2,trip_other,Buy,ok,trip_2,Cancel
2434,trip_2,trip_2,trip_other,Buy,ok,trip_other,Cancel
